epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.966,1.63239,1.86699,1.22898,0.61681,0.52316,0.57273,0.33313,1.30202,1.51134,1.06448,0.000166251,0.000166251,0.066916
2,95.5131,1.57515,1.48472,1.18969,0.71466,0.62958,0.68128,0.39805,1.28428,1.23636,1.074,0.000332844,0.000332844,0.0337493
3,141.561,1.53438,1.39556,1.1602,0.72468,0.64063,0.69922,0.41121,1.28042,1.17022,1.06924,0.000499141,0.000499141,0.000582266
4,187.523,1.53925,1.38116,1.17049,0.68282,0.65853,0.6932,0.40604,1.27532,1.04213,1.05102,0.000499001,0.000499001,0.000499001
5,233.373,1.50498,1.29831,1.15325,0.76792,0.62579,0.72161,0.46406,1.25019,1.05721,1.0528,0.000498226,0.000498226,0.000498226
6,279.242,1.48736,1.29476,1.14961,0.73176,0.63892,0.71894,0.45036,1.22719,1.00424,1.04255,0.00049723,0.00049723,0.00049723
7,325.059,1.46135,1.24191,1.11946,0.69678,0.65786,0.68056,0.37761,1.23609,1.11739,1.07023,0.000496015,0.000496015,0.000496015
8,371.053,1.46908,1.25223,1.12366,0.75183,0.69422,0.74508,0.49248,1.22646,0.96632,1.01771,0.000494581,0.000494581,0.000494581
9,417.67,1.42453,1.2189,1.11335,0.79734,0.65643,0.74887,0.47572,1.17352,0.96054,1.01727,0.000492931,0.000492931,0.000492931
10,463.512,1.38031,1.15306,1.09416,0.71473,0.68833,0.75671,0.51674,1.15423,0.92125,0.99523,0.000491066,0.000491066,0.000491066
11,509.267,1.38557,1.15632,1.09348,0.80306,0.68701,0.7721,0.53826,1.16354,0.93687,0.99878,0.000488988,0.000488988,0.000488988
12,555.046,1.39993,1.15054,1.09726,0.80097,0.72282,0.78307,0.52496,1.15632,0.89031,1.0061,0.000486698,0.000486698,0.000486698
13,600.734,1.38295,1.13864,1.09729,0.76589,0.68468,0.77859,0.53252,1.15932,0.9028,1.00047,0.0004842,0.0004842,0.0004842
14,646.436,1.35332,1.12144,1.08719,0.7779,0.69324,0.76449,0.51381,1.14283,0.92467,1.00952,0.000481495,0.000481495,0.000481495
15,692.175,1.35855,1.10314,1.07636,0.77484,0.75355,0.80042,0.56007,1.11529,0.85435,0.98441,0.000478586,0.000478586,0.000478586
16,737.919,1.33281,1.06845,1.07159,0.79949,0.71326,0.78135,0.5321,1.1281,0.87905,0.98955,0.000475476,0.000475476,0.000475476
17,783.643,1.32748,1.07266,1.06985,0.76407,0.70939,0.76697,0.49548,1.1245,0.86736,1.00414,0.000472169,0.000472169,0.000472169
18,829.426,1.32378,1.07065,1.06521,0.81053,0.72398,0.78029,0.53409,1.10883,0.85449,0.98841,0.000468667,0.000468667,0.000468667
19,875.258,1.30507,1.05615,1.06149,0.77894,0.74243,0.8007,0.54547,1.1086,0.83645,0.98266,0.000464974,0.000464974,0.000464974
20,921.105,1.31838,1.03679,1.05541,0.76675,0.73426,0.80181,0.55279,1.09996,0.82969,0.98645,0.000461093,0.000461093,0.000461093
21,966.699,1.31733,1.03301,1.06558,0.80985,0.72723,0.79996,0.54378,1.09518,0.83283,0.98168,0.000457029,0.000457029,0.000457029
22,1012.38,1.29998,1.03036,1.05134,0.78064,0.74183,0.81439,0.55889,1.08803,0.82934,0.9775,0.000452785,0.000452785,0.000452785
23,1058.27,1.29638,1.01972,1.0497,0.79386,0.72508,0.80337,0.55198,1.09313,0.81563,0.97782,0.000448365,0.000448365,0.000448365
24,1103.97,1.31254,1.0285,1.04947,0.81302,0.74632,0.8084,0.5784,1.07532,0.80737,0.97161,0.000443775,0.000443775,0.000443775
25,1149.84,1.28213,0.99962,1.05014,0.79776,0.76325,0.82059,0.5862,1.0746,0.79689,0.97402,0.000439018,0.000439018,0.000439018
26,1195.59,1.27587,0.98874,1.03772,0.85675,0.75624,0.82957,0.5801,1.06101,0.79076,0.96212,0.000434099,0.000434099,0.000434099
27,1241.25,1.28133,0.98189,1.04379,0.78033,0.74531,0.80612,0.57188,1.06166,0.79776,0.95979,0.000429023,0.000429023,0.000429023
28,1286.97,1.25988,0.97935,1.03724,0.85031,0.76926,0.83552,0.59752,1.05777,0.78951,0.96055,0.000423795,0.000423795,0.000423795
29,1332.93,1.26642,0.97779,1.03616,0.8255,0.77092,0.82202,0.57242,1.06837,0.78419,0.969,0.00041842,0.00041842,0.00041842
30,1378.69,1.26155,0.97302,1.03259,0.83316,0.77583,0.83117,0.57812,1.07872,0.7838,0.96501,0.000412904,0.000412904,0.000412904
31,1424.45,1.25929,0.93784,1.03157,0.82146,0.76904,0.83897,0.59558,1.05573,0.7676,0.96082,0.000407252,0.000407252,0.000407252
32,1470.15,1.25488,0.94993,1.03091,0.81198,0.77266,0.83366,0.59432,1.07562,0.77505,0.96479,0.000401469,0.000401469,0.000401469
33,1515.82,1.21884,0.93836,1.01688,0.81824,0.77704,0.82629,0.57881,1.0582,0.77109,0.96379,0.000395561,0.000395561,0.000395561
34,1561.51,1.22492,0.9348,1.0276,0.79411,0.74347,0.81453,0.56529,1.09344,0.77885,0.97856,0.000389534,0.000389534,0.000389534
35,1607.27,1.24994,0.93031,1.03274,0.81005,0.76385,0.82554,0.59021,1.04237,0.76322,0.95679,0.000383395,0.000383395,0.000383395
36,1652.99,1.20858,0.93049,1.02331,0.83,0.78136,0.84159,0.60617,1.03733,0.74733,0.95445,0.000377148,0.000377148,0.000377148
37,1698.87,1.21948,0.91962,1.0195,0.83886,0.7433,0.82841,0.57981,1.0422,0.75136,0.95839,0.0003708,0.0003708,0.0003708
38,1744.63,1.24167,0.91566,1.02189,0.83314,0.75242,0.8312,0.58378,1.0582,0.74624,0.9593,0.000364358,0.000364358,0.000364358
39,1790.37,1.22276,0.90613,1.01371,0.83378,0.75904,0.83577,0.59787,1.04197,0.74206,0.95255,0.000357828,0.000357828,0.000357828
40,1836.13,1.21045,0.91079,1.01728,0.83869,0.75997,0.83983,0.60916,1.03736,0.74707,0.95685,0.000351216,0.000351216,0.000351216
41,1882.13,1.18376,0.87551,1.01053,0.86694,0.73569,0.84371,0.58317,1.03096,0.7371,0.95942,0.000344529,0.000344529,0.000344529
42,1927.84,1.20832,0.89171,1.01852,0.85006,0.78582,0.84033,0.58027,1.05182,0.745,0.96702,0.000337773,0.000337773,0.000337773
43,1973.58,1.21342,0.90594,1.01424,0.85866,0.76619,0.83043,0.60913,1.02799,0.7238,0.95591,0.000330955,0.000330955,0.000330955
44,2019.36,1.2063,0.8958,1.0164,0.82423,0.75931,0.84091,0.61877,1.01561,0.71517,0.94631,0.000324082,0.000324082,0.000324082
45,2065.24,1.18931,0.87391,1.00283,0.84033,0.78122,0.84733,0.61899,1.01187,0.71023,0.94449,0.000317161,0.000317161,0.000317161
46,2111.06,1.19732,0.87378,1.0078,0.85857,0.75411,0.84488,0.60118,1.01224,0.71701,0.94471,0.000310198,0.000310198,0.000310198
47,2156.81,1.18453,0.86131,1.01104,0.8245,0.79449,0.84829,0.6138,1.01869,0.69779,0.95284,0.0003032,0.0003032,0.0003032
48,2202.55,1.18129,0.86027,1.00962,0.81546,0.81465,0.85067,0.60996,1.02402,0.72318,0.95175,0.000296174,0.000296174,0.000296174
49,2248.24,1.16102,0.84915,0.99721,0.84854,0.79747,0.86048,0.62174,1.01308,0.69745,0.94935,0.000289128,0.000289128,0.000289128
50,2294.08,1.1836,0.84629,0.99508,0.86443,0.79208,0.84351,0.60646,1.01501,0.69823,0.94882,0.000282067,0.000282067,0.000282067
51,2339.74,1.15784,0.84593,0.99543,0.84688,0.81372,0.84776,0.6108,1.00738,0.68941,0.95086,0.000275,0.000275,0.000275
52,2385.44,1.15005,0.82101,0.99499,0.84287,0.79804,0.85934,0.61156,1.03186,0.68534,0.95521,0.000267933,0.000267933,0.000267933
53,2431.08,1.14625,0.82604,0.99106,0.86023,0.79907,0.84826,0.61061,1.00253,0.68384,0.94536,0.000260872,0.000260872,0.000260872
54,2476.72,1.14475,0.81394,0.99257,0.8254,0.81491,0.86071,0.62232,1.00173,0.68402,0.94733,0.000253826,0.000253826,0.000253826
55,2522.57,1.12732,0.81096,0.98309,0.84922,0.77689,0.85627,0.61301,1.00397,0.6709,0.95218,0.0002468,0.0002468,0.0002468
56,2569.38,1.15364,0.81405,0.99181,0.81949,0.78233,0.84485,0.61871,1.00124,0.6831,0.94546,0.000239802,0.000239802,0.000239802
57,2615.33,1.12848,0.80487,0.98363,0.8395,0.81687,0.8666,0.62487,1.00312,0.68002,0.94821,0.000232839,0.000232839,0.000232839
58,2661.47,1.13652,0.80764,0.98338,0.88072,0.77256,0.86264,0.62503,0.99779,0.68904,0.94421,0.000225918,0.000225918,0.000225918
59,2707.62,1.12717,0.78547,0.98194,0.82434,0.80948,0.85426,0.62286,0.98769,0.68343,0.94612,0.000219045,0.000219045,0.000219045
60,2753.78,1.12542,0.80275,0.98086,0.8516,0.79651,0.86172,0.63007,1.00426,0.67349,0.94606,0.000212227,0.000212227,0.000212227
61,2799.93,1.11926,0.77872,0.98004,0.82384,0.8278,0.85842,0.6229,0.99768,0.67038,0.94613,0.000205471,0.000205471,0.000205471
62,2846.07,1.09705,0.77726,0.97887,0.86634,0.79961,0.85351,0.61747,0.98612,0.66986,0.94475,0.000198784,0.000198784,0.000198784
63,2892.25,1.12075,0.77266,0.98018,0.86,0.79366,0.86555,0.63349,0.98709,0.66014,0.94491,0.000192172,0.000192172,0.000192172
64,2938.32,1.11959,0.77674,0.97654,0.87418,0.79506,0.86124,0.62174,0.9926,0.66277,0.94718,0.000185642,0.000185642,0.000185642
65,2984.47,1.10207,0.77936,0.98492,0.86617,0.79124,0.85795,0.62891,0.99109,0.67277,0.94484,0.0001792,0.0001792,0.0001792
66,3030.41,1.08567,0.75457,0.97074,0.83443,0.81232,0.85926,0.63296,0.99344,0.65835,0.94417,0.000172852,0.000172852,0.000172852
67,3076.42,1.08959,0.75741,0.9677,0.86303,0.78599,0.86329,0.63351,0.98476,0.65801,0.9422,0.000166605,0.000166605,0.000166605
68,3122.55,1.08209,0.74066,0.97411,0.85484,0.78454,0.85805,0.62407,0.98883,0.66014,0.94433,0.000160466,0.000160466,0.000160466
69,3170.93,1.09021,0.77343,0.97166,0.87916,0.79151,0.86642,0.63837,0.97973,0.65441,0.94119,0.000154439,0.000154439,0.000154439
70,3217.02,1.07421,0.7501,0.96491,0.86075,0.77432,0.85881,0.63775,0.97897,0.65683,0.93906,0.000148531,0.000148531,0.000148531
71,3262.95,1.07622,0.74496,0.97079,0.84567,0.79748,0.86202,0.64538,0.96928,0.65356,0.93498,0.000142748,0.000142748,0.000142748
72,3309.02,1.08011,0.73874,0.96868,0.85039,0.79278,0.86182,0.64045,0.97406,0.64602,0.93398,0.000137096,0.000137096,0.000137096
73,3355.03,1.0682,0.74129,0.96495,0.85631,0.79552,0.86128,0.63707,0.97175,0.64964,0.93327,0.00013158,0.00013158,0.00013158
74,3401.03,1.06375,0.71837,0.96678,0.85584,0.81749,0.86411,0.64523,0.98374,0.64802,0.94028,0.000126205,0.000126205,0.000126205
75,3447.01,1.06976,0.73421,0.96538,0.84778,0.80796,0.85968,0.64368,0.96954,0.6485,0.94126,0.000120977,0.000120977,0.000120977
76,3493.03,1.03466,0.71453,0.95326,0.86749,0.80074,0.8615,0.63493,0.98326,0.65056,0.94516,0.000115901,0.000115901,0.000115901
77,3539.08,1.05741,0.71802,0.96402,0.85383,0.79895,0.85754,0.63804,0.97619,0.64941,0.93855,0.000110982,0.000110982,0.000110982
78,3585.01,1.04147,0.70432,0.95992,0.85622,0.81595,0.86552,0.64395,0.97592,0.64237,0.94122,0.000106225,0.000106225,0.000106225
79,3631.02,1.06849,0.71256,0.9581,0.84063,0.81973,0.86397,0.63839,0.9771,0.64949,0.94092,0.000101635,0.000101635,0.000101635
80,3677.03,1.04921,0.70826,0.95888,0.86842,0.80084,0.8659,0.63703,0.97207,0.63973,0.93547,9.72151e-05,9.72151e-05,9.72151e-05
81,3722.91,1.04374,0.69715,0.95169,0.87461,0.79518,0.86645,0.638,0.97241,0.64019,0.93684,9.29712e-05,9.29712e-05,9.29712e-05
82,3768.92,1.03976,0.69215,0.94928,0.87202,0.80216,0.86657,0.63908,0.9774,0.63632,0.9423,8.89069e-05,8.89069e-05,8.89069e-05
83,3814.65,1.03421,0.693,0.94791,0.83963,0.83817,0.86421,0.63394,0.97027,0.6313,0.93922,8.50262e-05,8.50262e-05,8.50262e-05
84,3860.48,1.05172,0.69521,0.95117,0.8451,0.82652,0.86255,0.63185,0.97515,0.63672,0.94148,8.1333e-05,8.1333e-05,8.1333e-05
85,3906.28,1.05168,0.70517,0.95602,0.88729,0.79093,0.86721,0.64049,0.97336,0.63988,0.93903,7.7831e-05,7.7831e-05,7.7831e-05
86,3952.11,1.04786,0.70008,0.94958,0.84143,0.82471,0.8656,0.64484,0.9719,0.63864,0.93942,7.45235e-05,7.45235e-05,7.45235e-05
87,3997.95,1.02361,0.69183,0.94962,0.84972,0.82026,0.86834,0.64587,0.9692,0.63045,0.93987,7.14139e-05,7.14139e-05,7.14139e-05
88,4043.91,1.01771,0.67792,0.95474,0.8696,0.80155,0.86581,0.64608,0.96783,0.6428,0.93769,6.85052e-05,6.85052e-05,6.85052e-05
89,4089.9,1.0441,0.69763,0.95256,0.88732,0.79001,0.8659,0.64696,0.96662,0.63406,0.93793,6.58003e-05,6.58003e-05,6.58003e-05
90,4135.77,1.02956,0.67765,0.94916,0.86964,0.80118,0.86559,0.64155,0.96887,0.63537,0.93937,6.33018e-05,6.33018e-05,6.33018e-05
91,4182.01,0.9799,0.60333,0.91828,0.85256,0.79796,0.85849,0.63717,0.97426,0.63668,0.94392,6.10123e-05,6.10123e-05,6.10123e-05
92,4227.56,0.98077,0.59637,0.91953,0.83224,0.82051,0.85796,0.64473,0.9742,0.63281,0.94196,5.89339e-05,5.89339e-05,5.89339e-05
93,4273.08,0.98274,0.59588,0.92164,0.82523,0.81253,0.86122,0.64243,0.97669,0.63687,0.9406,5.70688e-05,5.70688e-05,5.70688e-05
94,4318.61,0.98196,0.59649,0.91656,0.85633,0.80711,0.86365,0.64438,0.96802,0.63207,0.93726,5.54187e-05,5.54187e-05,5.54187e-05
95,4364.11,0.97307,0.58644,0.91416,0.84563,0.81182,0.85807,0.64073,0.96599,0.6367,0.93922,5.39854e-05,5.39854e-05,5.39854e-05
96,4409.67,0.96278,0.58334,0.91338,0.8586,0.80868,0.86433,0.64398,0.97652,0.63751,0.94288,5.27701e-05,5.27701e-05,5.27701e-05
97,4455.11,0.96707,0.58244,0.91341,0.84349,0.81058,0.86282,0.64062,0.97609,0.63734,0.94351,5.17742e-05,5.17742e-05,5.17742e-05
98,4500.35,0.96344,0.57826,0.91133,0.86404,0.80076,0.86164,0.63916,0.97303,0.63445,0.94387,5.09986e-05,5.09986e-05,5.09986e-05
99,4545.79,0.95876,0.57573,0.9094,0.86398,0.80909,0.86661,0.64489,0.97256,0.63497,0.93921,5.0444e-05,5.0444e-05,5.0444e-05
